,dir0,mod0,wind_gust0,rh0,visibility0,lhflx0,lwflx0,conv_prec0,prec0,swflx0,shflx0,cape0,cin0,cfh0,cfl0,cfm0,cft0,dir1,mod1,wind_gust1,temp1,rh1,visibility1,lhflx1,lwflx1,conv_prec1,prec1,swflx1,shflx1,cape1,cin1,cfh1,cfl1,cfm1,cft1,HGT5001,dir2,mod2,wind_gust2,rh2,visibility2,lhflx2,lwflx2,conv_prec2,prec2,swflx2,shflx2,cape2,cin2,cfh2,cfl2,cfm2,cft2,HGT8502,dir3,mod3,wind_gust3,temp3,rh3,visibility3,lhflx3,lwflx3,conv_prec3,prec3,swflx3,shflx3,cape3,cin3,cfh3,cfl3,cfm3,cft3
2021-05-18 01:00:00,162.46180725097656,3.601755857467652,11.57616138458252,0.8633769154548645,24092.076171875,16.764715194702152,373.9160461425781,0.0,0.0,0.0,-29.980640411376953,0.0,7.812499825377017e-05,0.0,0.7265625,0.5,0.7265625,141.26609802246094,3.556562662124634,11.876161575317385,286.799560546875,0.8180769085884094,13292.076171875,60.86471557617188,374.3160400390625,0.0,0.028999999165534977,0.0,14.2193603515625,0.0,7.812499825377017e-05,0.0,0.8000000119209291,0.6000000238418579,0.8000000119209291,5660.919921875,173.41317749023438,7.2824034690856925,12.476161003112793,0.8389769792556763,24092.076171875,78.66471862792969,377.4160461425781,0.0,0.0,0.0,11.119359970092773,0.0,7.812499825377017e-05,0.0,0.71875,0.5,0.71875,1498.412353515625,157.72219848632812,2.414564847946167,11.17616081237793,285.2175598144531,0.8792769312858582,24092.076171875,10.364716529846193,371.51605224609375,0.0,0.0,0.0,-26.38064002990723,0.0,7.812499825377017e-05,0.0,0.75,0.6000000238418579,0.75
2021-05-18 02:00:00,188.8263397216797,7.962359428405763,14.125688552856445,0.8914070129394531,24082.720703125,29.794103622436523,381.8310241699219,0.0,0.0860000029206276,0.0,-71.28312683105469,0.0,0.0005624999757856131,0.0,0.5625,0.699999988079071,0.699999988079071,188.20327758789062,8.212094306945799,15.125688552856445,287.9281921386719,0.8709070682525635,24082.720703125,71.49410247802734,380.8310241699219,0.0,0.4100000262260437,0.0,9.716870307922363,0.0,0.0005624999757856131,0.0,0.6015625,0.699999988079071,0.699999988079071,5656.88623046875,190.4348907470703,11.549074172973633,15.625688552856445,0.8787070512771606,24082.720703125,83.69410705566406,385.1310424804688,0.0,0.12099999934434892,0.0,2.5168700218200684,0.0,0.0005624999757856131,0.0,0.53125,0.699999988079071,0.699999988079071,1495.545654296875,189.84664916992188,6.676418781280518,13.125688552856445,286.690185546875,0.8897070288658142,24082.720703125,30.794103622436523,379.9310302734375,0.0,0.0860000029206276,0.0,-77.78312683105469,0.0,0.0005624999757856131,0.0,0.6015625,0.699999988079071,0.699999988079071
2021-05-18 03:00:00,193.2917633056641,8.546286582946777,14.765352249145508,0.9218707084655762,24057.16796875,24.06649398803711,384.5665588378906,0.0,0.17899999022483826,0.0,-61.666236877441406,0.0,-0.0016406249487772586,0.0,0.5337939262390137,0.6000000238418579,0.6000000238418579,190.6666412353516,10.183309555053713,15.265352249145508,288.3497619628906,0.9093707203865052,18057.16796875,57.96649169921875,385.0665588378906,0.0,0.3109999895095825,0.0,3.4337646961212163,0.0,-0.0016406249487772586,0.0,0.5,0.699999988079071,0.699999988079071,5653.4658203125,192.4431915283203,11.671510696411133,16.365352630615234,0.9035707116127014,24057.16796875,61.7664909362793,384.1665649414063,0.0,0.08100000768899918,0.0,-2.8662352561950684,0.0,-0.0016406249487772586,0.0,0.4875417947769165,0.6000000238418579,0.6000000238418579,1491.68115234375,198.8860321044922,7.120696067810059,13.565351486206055,287.4947509765625,0.9298706650733948,24057.16796875,22.06649398803711,382.26654052734375,0.0,0.2490000128746033,0.0,-67.66623687744139,0.0,-0.0016406249487772586,0.0,0.570248007774353,0.6000000238418579,0.6000000238418579
2021-05-18 04:00:00,194.2749328613281,8.607732772827147,14.66999340057373,0.9482457041740416,24042.94921875,16.045965194702152,387.03741455078125,0.0,0.14500001072883606,0.0,-52.07658767700195,0.0,0.0038281250745058064,0.0,0.5386438369750977,0.699999988079071,0.699999988079071,191.16539001464844,10.082802772521973,15.06999397277832,288.56781005859375,0.9353456497192384,24042.94921875,36.14596557617188,387.9374084472656,0.0,0.2799999713897705,0.0,-1.276586890220642,0.0,0.0038281250745058064,0.0,0.5234375,0.699999988079071,0.699999988079071,5652.798828125,193.1834259033203,12.419268608093262,16.369993209838867,0.932245671749115,24042.94921875,41.34596633911133,389.2373962402344,0.0,0.07799999415874481,0.0,-6.9765868186950675,0.0,0.0038281250745058064,0.0,0.4993128776550293,0.6000000238418579,0.6000000238418579,1492.720947265625,199.11593627929688,7.06133508682251,13.56999397277832,287.9078063964844,0.9556456804275512,24042.94921875,14.345965385437012,385.7373962402344,0.0,0.1550000011920929,0.0,-54.57658767700195,0.0,0.0038281250745058064,0.0,0.5969030261039734,0.699999988079071,0.699999988079071
2021-05-18 05:00:00,197.9944000244141,9.616512298583984,15.6234130859375,0.967537522315979,15037.79296875,11.957043647766113,388.662841796875,0.0,0.5499999523162842,0.0,-42.88593673706055,0.38199999928474426,0.0021875000093132253,0.0,0.699999988079071,0.20000000298023224,0.699999988079071,196.1245422363281,11.56093978881836,16.1234130859375,288.6390075683594,0.9563375115394592,24037.79296875,27.15704345703125,389.3628540039063,0.0,0.6100000143051147,0.0,-3.5859375,0.39800000190734863,0.0021875000093132253,0.0,0.6050852537155151,0.0,0.6050852537155151,5652.57421875,196.2816619873047,13.414109230041506,16.6234130859375,0.956237494945526,10637.7919921875,26.9570426940918,390.162841796875,0.0,0.5900000333786011,0.0,-8.5859375,0.32600000500679016,0.0021875000093132253,0.0,0.6299999952316284,0.5,0.6299999952316284,1494.0540771484375,201.34176635742188,7.833295822143555,14.423413276672365,288.0580139160156,0.9725375175476074,14237.79296875,10.957043647766113,387.5628356933594,0.11599999666213988,0.8199999332427979,0.0,-43.0859375,0.531000018119812,0.0021875000093132253,0.0,0.699999988079071,0.10000000149011612,0.699999988079071
2021-05-18 06:00:00,200.7354888916016,8.89812183380127,14.734660148620605,0.9800624847412108,15838.8994140625,6.965985298156737,389.4243774414063,0.0,0.5300000309944153,1.0000001937626737e-09,-33.598899841308594,0.9160000085830688,0.0041796877048909655,0.0,0.699999988079071,0.0,0.699999988079071,200.7394561767578,10.534366607666016,14.034660339355467,288.7148742675781,0.9701625108718872,14438.8994140625,13.765985488891602,390.02435302734375,0.0,0.3899999856948853,1.0000001937626737e-09,-4.898901462554932,0.8080000281333923,0.0041796877048909655,0.0,0.699999988079071,0.0,0.699999988079071,5654.5009765625,202.8369140625,11.904932975769045,14.434659957885742,0.9745625257492064,19638.8984375,8.965985298156738,390.8243713378906,0.0,0.3899999856948853,1.0000001937626737e-09,-8.698901176452638,4.835999965667725,-19.87582015991211,0.0,0.699999988079071,0.0,0.699999988079071,1493.7103271484375,205.16500854492188,7.338240623474121,13.834660530090332,288.181884765625,0.9806625247001648,11038.8994140625,7.7659850120544425,388.224365234375,0.210999995470047,1.4100000858306885,1.0000001937626737e-09,-35.19890213012695,0.7739999890327454,0.0041796877048909655,0.0,0.699999988079071,0.0,0.699999988079071
2021-05-18 07:00:00,213.02235412597656,8.077743530273438,12.659231185913086,0.9843425750732422,20237.8046875,4.240150451660156,391.1704406738281,0.0,0.5399999618530273,8.5,-33.017871856689446,57.43000030517578,0.0006874999962747098,0.0,0.6601482033729553,0.0,0.6601482033729553,213.3418273925781,9.55564785003662,12.95923137664795,288.901123046875,0.9788424968719482,17037.8046875,2.1401505470275883,391.9704284667969,0.0,0.4900000095367432,9.800000190734863,-7.7178711891174325,62.71799850463867,0.0006874999962747098,0.0,0.699999988079071,0.0,0.699999988079071,5657.5419921875,214.7758636474609,10.400483131408693,12.859231948852539,0.9755426049232484,21637.8046875,0.04015045240521431,392.77044677734375,0.0,0.25999999046325684,11.0,-11.517870903015135,55.86399841308594,-0.02531250007450581,0.0,0.6589159369468689,0.0,0.6589159369468689,1497.6768798828125,217.79454040527344,6.938440799713135,12.159231185913086,288.3741149902344,0.9904425740242004,14837.8046875,3.940150499343872,389.5704345703125,0.0,1.1299998760223389,7.800000190734862,-30.81787109375,38.374000549316406,0.0006874999962747098,0.0,0.699999988079071,0.0,0.699999988079071
2021-05-18 08:00:00,230.1824493408203,6.233477115631104,9.840982437133787,0.9618929624557496,24037.87109375,13.545509338378904,388.9663696289063,0.0,0.5399999618530273,56.42414093017578,-0.43037110567092896,33.5,0.0008125000167638062,0.10000000149011612,0.453000009059906,0.0,0.453000009059906,227.94960021972656,6.407402515411378,8.240982055664062,288.6940612792969,0.9618929624557496,24037.87109375,10.34550952911377,383.2663879394531,0.0,0.8600001335144043,103.72413635253906,-1.830371141433716,27.71999931335449,0.0008125000167638062,0.10000000149011612,0.4639999866485596,0.0,0.4639999866485596,5660.1640625,224.76004028320312,7.381857395172119,9.240982055664062,0.9610929489135742,24037.87109375,9.44550895690918,385.0663757324219,0.0,0.5799999237060547,126.82413482666016,-4.13037109375,29.770000457763672,0.0008125000167638062,0.10000000149011612,0.546999990940094,0.0,0.546999990940094,1498.7608642578125,236.1441345214844,5.657054901123048,10.840982437133787,288.41204833984375,0.9560929536819458,24037.87109375,15.045509338378904,387.3663940429688,0.0,0.4900002479553223,39.22414016723633,-3.9303710460662837,22.670000076293945,0.0008125000167638062,0.10000000149011612,0.6000000238418579,0.0,0.6000000238418579
2021-05-18 09:00:00,240.46958923339844,5.084733486175537,7.0019469261169425,0.9360561966896056,24037.68359375,24.11798095703125,386.67071533203125,0.0,0.20000004768371585,129.21807861328122,37.92475509643555,17.489999771118164,-0.009875000454485416,0.20000000298023224,0.38808274269104,0.0,0.38808274269104,231.3998107910156,5.379525184631348,6.201947212219237,288.41650390625,0.9685561656951904,24037.68359375,11.317980766296387,377.8706970214844,0.0,0.18999981880187988,290.0180969238281,1.224755883216858,12.539999961853027,-0.2718749940395355,0.10000000149011612,0.2667326331138611,0.0,0.2667326331138611,5665.64208984375,242.1487274169922,5.343127250671387,6.5019469261169425,0.951056182384491,24037.68359375,11.317980766296387,384.2706909179688,0.0,0.20000004768371585,158.81808471679688,-0.975244164466858,15.800000190734865,-0.09587500244379044,0.20000000298023224,0.29372531175613403,0.0,0.29372531175613403,1504.8292236328125,242.46957397460938,4.729769229888916,7.0019469261169425,288.78948974609375,0.9329562187194824,24037.68359375,22.11798095703125,384.3706970214844,0.0,0.17999982833862305,119.11808013916016,36.92475509643555,19.950000762939453,0.00012500000593718139,0.20000000298023224,0.531028151512146,0.0,0.531028151512146
2021-05-18 10:00:00,263.48464965820307,4.270753860473634,5.0154948234558105,0.840993344783783,24037.62890625,89.19999694824219,331.3922424316406,0.0,0.1100001335144043,636.7060546875,265.89877319335943,1.6200000047683716,-0.000468749989522621,0.30000001192092896,0.26507216691970825,0.0,0.30000001192092896,253.00547790527344,4.3950934410095215,4.815495014190674,288.35943603515625,0.9451932907104492,24037.62890625,14.199999809265135,329.6922302246094,0.0,0.07000017166137695,624.7060546875,1.1987793445587158,0.0,-0.000468749989522621,0.4000000059604645,0.17264115810394287,0.0,0.4000000059604645,5671.77587890625,262.76211547851557,4.0050859451293945,4.815495014190674,0.9333932995796204,24037.62890625,13.699999809265135,328.59222412109375,0.0,0.09000015258789062,638.8060302734375,0.5987793207168579,2.7300000190734863,-0.000468749989522621,0.4000000059604645,0.3204365968704224,0.0,0.4000000059604645,1510.6658935546875,264.69363403320307,4.050530433654785,5.2154951095581055,290.80743408203125,0.8088933229446411,24037.62890625,80.5,332.09222412109375,0.0,0.13000011444091794,631.8060302734375,273.7987670898437,8.590000152587889,-0.000468749989522621,0.4000000059604645,0.2303513288497925,0.0,0.4000000059604645
